H3 Content	OS Content	GK Content
<001v>	и мⸯноꙁи о҅тъ стоѧ҅штааго тоу народа·	Καὶ πολλοὶ τῶν περιεστώτων ὄχλων...
<001v>	бѣа҅хѫ текѫште· и҅ рь҆въноуѭ҄ште кꙋ-	ἦσαν τρέχοντες ἐρίζοντες πρὸς ἀλλή-
<001v>	пьно· кⸯто прь҆воѥ҆ вьнидеть҆ къ н҄еи҆·	λους, τίς πρῶτος εἰσέλθῃ πρὸς αὐτήν·
<001v>	бѣа҅хѫ бо ꙗ҅ко кон҄и ръжѫште о҅ добротѣ	ἦσαν γὰρ ὡς ἵπποι χρεμετίζοντες ἐπὶ τῷ κάλλει
<002r>	ѥѧ· ставⸯши же ѥ҅и на мѣстѣ на н҄емⸯже	αὐτῆς. Σταθείσης δὲ αὐτῆς ἐν τῷ τόπῳ, ᾧ
<002r>	повелѣ а҅урилиꙗнъ· и҅ абиѥ а҆гⸯг҄елъ г꙯нь	προσέταξεν Αὐριλλιανός, εὐθὺς ἄγγελος κυρίου...
<002r>	прѣдъста прѣдъ н҄еѭ҄· глаголꙙ · не о҄у-	παρέστη αὐτῇ καὶ ἔφη πρὸς αὐτήν· „Μὴ φο-
<002r>	бои҆ сѧ и҅оулиꙗ҅ни· г꙯ь бо їс꙯ х꙯с ѥ҅моуже тꙑ	βοῦ, Ἰουλιανή, ὁ γὰρ κύριος Ἰησοῦς Χριστός, ᾧ σὺ
<002r>	слоужиши посъла мꙙ покрꙑти тꙙ·	λατρεύεις, ἀπέσταλκέν με σκεπάσαι σε
<002r>	и покаꙁати свꙙтоѥ и҅мꙙ ѥго вь҆сѣмъ	καὶ γνωρίσαι τὸ ὄνομα αὐτοῦ τὸ ἅγιον πᾶσι
<002r>	боѧ҅штиїмъ сꙙ ѥ҅го· и ꙗ҅ко отъ желани-	τοῖς φοβουμένοις αὐτόν”. Ὡς δὲ προσήρχοντο
<002r>	ꙗ къ и҅ю҄лиꙗ҆ниї течаа҅хѫ народи вь҆си·	οἱ ὄχλοι πρὸς αὐτὴν βουλόμενοι ἀπολαύειν τοῦ κάλλους αὐτῆς,
<002r>	а҅гⸯг҄елъ же о҅тътрꙙсъ прахъ ꙗ҅ко о҅тъ но-	ἄγγελος ἐξετίναξεν τὸν κονιορτὸν ἀπὸ τῶν ποδ-
<002r>	гъ и҆хъ· о҅слѣпи ѧ и҅ не вѣдѣа҅хѫ камо	ῶν αὐτοῦ ἐπ' αὐτοὺς καὶ ἐτύφλωσεν αὐτούς. Καὶ οὐκ ᾔδεισαν, ποῦ
<002r>	и҅дѫтъ· и҅ не можаа҅хѫ приближити сꙙ	πορεύονται οὔτε ἠδύναντο πλησιάσαι
<002r>	ѥ҅и· и҅ вь҆пиꙗ҅хѫ вь҆си народи коупⸯно	αὐτῇ. Οἱ δὲ ὄχλοι... ἐβόων ὁμοθυμαδὸν
<002r>	глагол҄҄ѫште· великъ богъ паул҄ь и҅ їо҄у-	λέγοντες· „Μέγας ὁ θεὸς Παύλου καὶ Ἰου-
<002r>	лиꙗнинъ· иже вь҆сь҆де съпасъ и покро-	λιανῆς, ὃς πανταχοῦ σωτὴρ καὶ σκεπα-
<002r>	вител҄ь боѧштиїхъ сꙙ ѥ҅го· и҅ прѣбꙑва-	στὴς γίνεται τοῖς φοβουμένοις αὐτόν”. Οἱ μὲν
<002r>	хѫ ѥ҅ште слѣпи· пришьдъше же покла-	οὖν τυφλωθέντες ἐγονυ-
<002r>	нꙗа҆хѫ сꙙ ѥ҅и҆· вь҆пиѭ҄ште и҅ глагол҄ѫште·	πέτουν αὐτῇ βοῶντες καὶ λέγοντες·
<002r>	и҅о҄улиꙗ҅ниѥ рабо б꙯а вꙑшь҆нꙗго· съгрѣ-	„Ἰουλιανή, δούλη τοῦ θεοῦ τοῦ ὑψίστου, ἡμάρ-
<002r>	шихомъ прѣдъ тобоѭ҄ ѫ҅родъскꙑ· нъ	τομεν ἐνώπιόν σου παραφρονήσαντες, ἀλλὰ
<002r>	простивъши нꙑ ꙗ҅ко блага бога слоужи-	συγχώρησоν ἡμῖν ὡς ἀγαθοῦ θεоῦ ὑπηρέ-
<002r>	тел҄ьница· помоли сꙙ хс꙯оу да подастъ	τις καὶ εὖξαι τῷ Χριστῷ σου, ἵνα χαρίσηται
<002r>	намъ видѣниꙗ҅· Ст꙯аа҅ же и҅о҄улиꙗ҅ни	ἡμῖν τὸ βλέπειν”. Ἡ δὲ Ἰουλιανὴ
<002r>	милосрь҆довавъши вь҆ꙁꙙ водꙑ мало·	σπλαγχνισθεῖσα... ἔλαβεν ὕδωρ βραχὺ
<002r>	и въꙁведⸯши о҅чи свои на небо· помоли	καὶ ἀνατείνασα τοὺς ὀφθαλμοὺς αὐτῆς εἰς τὸν οὐρανὸν ἐπεκαλέσατο
<002r>	сꙙ богоу глагол҄ѫшти· г꙯и їс꙯ х꙯се сп꙯се вь-	τὸν θεὸν λέγουσα· „Κύριε Ἰησοῦ Χριστέ, ὁ σωτὴρ τῶν ἁπάν-
<002r>	сѣхъ чл꙯къ· о҄услꙑши мене и҅ покажи·	των, ἐπάκουσόν μου καὶ δεῖξόν
<002r>	чоудеса своꙗ҅ ꙗ҅же твориши сн꙯омъ чло-	σου... τὰ θαυμάσια καὶ τὰ τεράστια, ἃ ποιεῖς δι' ἡμᾶς τοὺς υἱοὺς τῶν ἀν-
<002r>	вѣчьскомъ· и҅ даръствоуи҆ и҆мъ видѣ-	θρώπων, καὶ χάρισαι αὐτοῖς τὸ βλέ-
<002r>	ниѥ҆· да прославꙙтъ с꙯тоѥ и҅ прѣхваль҆-	πειν, ὅπως δοξασθῇ σου τὸ ἅγιον καὶ ἔνδο-
<002r>	ноѥ и҅мꙙ твоѥ҆· и҅ тако покропи вь҆сь народⸯ·	ξον ὄνομα”. Καὶ οὕτως διέρενε τὸ ὕδωρ ἐπάνω τῶν ὄχλων.
<002v>	и҅ вьси ослѣпьѥниї проꙁь҆рѣшѧ· и текⸯше	Καὶ πάντες οἱ τυφλωθέντες ἀνέβλεψαν καὶ προσπεσόντες
<002v>	въ црькъвь х꙯вѫ каꙗхѫ сꙙ славꙙште б꙯а·	ηὐχαρίστουν τῷ θεῷ μετανοοῦντες
<002v>	и҅ їсповѣдаѭ҄ште грѣхꙑ своѧ бꙑшꙙ	καὶ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν καὶ ἐγένοντο
<002v>	крь҆стиꙗни· Ст꙯ꙑи҅ же павьлъ на мⸯно-	Χριστιανοί. Ὁ δὲ Παῦλος... βασανιζόμενος ἐπὶ πλεῖ-
<002v>	ꙁѣ мѫчимъ· и҅ биѥмъ палицами же-	ον ταῖς ῥάβδοις ταῖς σι-
<002v>	лѣꙁнами· бѣа҅хѫ бо раждъженꙑ свь-	δηραῖς,
<002v>	тꙙште сꙙ а҅кꙑ мль҆нии· и҅ вь҆пиꙗ҅ше гла-	ἀνέκραγεν λέ-
<002v>	гол҄ꙙ: а҅урилиꙗ҅не мѫчителю и непрѣпо-	γων· „Αὐριλλιανὲ τύραννε καὶ ἀνό-
<002v>	добьне· чⸯто ꙁъло сътворь҆ша мꙙ соуро-	σιε, τί μηδὲν κακὸν ποιήσαντα οὕτως ὠ-
<002v>	вѣ и непрѣподобь҆нѣ мѫчиши· мнѣ	μῶς καὶ ἀνοσίως βασανίζεις; Ἐμὲ
<002v>	бо о҅бльгъчаваѥ҅тъ о҅тъ мѫкъ х꙯с· тебе	μὲν ἐπικουφίζει τῶν βασάνων... Χριστός· σὲ
<002v>	же и҅матъ причꙙсть҆ника сътворити	δὲ ἔχει κληρονομῆσαι
<002v>	о҅гню вѣчьноуо҄умоу· о҄уготованоуо҄у-	τὸ πῦρ τὸ αἰώνιον τὸ ἡτοιμασμέν-
<002v>	моу тебѣ и҅ диꙗ҅волоу· ̒А҅урилиꙗ҅нъ	ον σοὶ καὶ τῷ διαβόλῳ...”. Αὐριλλιανὸς
<002v>	рече · кⸯде ѥ҅стъ сестра твоꙗ ѭ҄же тꙑ	εἶπεν· „Ποῦ ἐστιν... ἡ ἀδελφή σου, ἣν
<002v>	мѣниши дѣвѫ сѫштѫ· се посълахъ	λέγεις εἶναι... παρθένον; ἰδοὺ ἀπηνέχθη
<002v>	ѭ҄ на блѫдъ· да прои҅дѫтъ ѭ҄ вь҆си хотꙙ-	εἰς τὸ πορνεῖον,
<002v>	штеи҆· ѥ҅ште дѣва ѥстъ· Ст꙯ꙑи	μὴ ἔτι παρθένος ἐστίν;”.
<002v>	паулъ рече · вѣроуѭ҄ богоу лъгъчꙙштꙋ-	Παῦλος εἶπεν· Πιστεύω τῷ θεῷ
<002v>	о҄умоу ми болѣꙁни· и҅ їꙁбавьꙗѭ҄шта	τῷ ἐπικουφίζοντί
<002v>	мꙙ о҅тъ вь҆сѣхъ ꙁълꙑи҅хъ твои҅хъ о҄у-	με... ἐκ τῶν πονηρῶν σου ἐπι-
<002v>	мꙑшлꙗи҆· ꙗко и҅ тѫ и҅матъ покрꙑти·	νοιῶν, ὅτι καὶ αὐτὴν ἐσκέπασεν...
<002v>	посъла бо а҅гⸯг҄ела своѥ҅го съ вꙑсотъ небесъ-	ἐξαπέστειλεν γὰρ τὸν ἄγγελον αὐτοῦ ἐξ ὕψους οὐραν-
<002v>	скꙑихъ съхранити ѭ҄· и҅ се чисто и҅ прѣ-	ῶν τοῦ διαφυλάξαι αὐτήν, καὶ ἰδοὺ ἄχραντος καὶ κα-
<002v>	чисто и҅мѫшти дѣвъство въꙁврашта-	θαρὰν ἔχουσα τὴν παρθενίαν ὑποστρέφ-
<002v>	ѥ҅тъ сꙙ видѣти ѫ҅ꙁꙑ моѧ· и҅ повелѣ а҅-	ει ἰδεῖν τὰ δεσμά μου”. Καὶ ἀπέστειλεν ὁ Αὐ-
<002v>	урилиꙗнъ привести ст꙯ѫѭ҄ и҅о҄улиꙗ҅-	ριλλιανὸς ἀχθῆναι τὴν Ἰουλια-
<002v>	ниѭ҄· и҅ пришедъши ѥ҅и къ сѫдиїштꙋ·	νήν, Παραγενομένης δὲ αὐτῆς ἐπὶ τὸ βῆμα,
<002v>	видѣвъ ѭ҄ паулъ и҅спль҆ни сꙙ радости	ἰδὼν αὐτὴν ὁ Παῦλος καὶ χαρᾶς... πλησθεὶς
<002v>	и҅ просмиꙗ сꙙ· ̓А҅урилиꙗ҅нъ же рече·	ἐγέλασεν. Ὁ δὲ Αὐριλλιανὸς εἶπεν... „
<003r>	насꙑтишꙙ ли сꙙ любь҆ѥ҅ници твои҆	ἐνεπλήσθησαν οἱ ἐρασταί
<003r>	добротꙑ твоѥ҅ѧ· Їӱлиꙗни рече · моꙗ҆	σου τοῦ κάλλους σου. Ἰουλιανὴ εἶπεν· „Ἐμοῦ
<003r>	доброта и҅ оукрашениѥ и лѣпота х꙯с ѥ҅-	τὸ κάλλος καὶ ἡ κόσμησις καὶ ἡ εὐπρέπεια Χριστός ἐσ-
<003r>	стъ· и҅же посъла а҅гⸯг҄ела своѥ҅го и҅ по-	τιν, ὃς ἐξαπέστειλεν τὸν ἄγγελον αὐτοῦ καὶ ἐσκέ-
<003r>	крꙑ мꙙ о҄убогѫѭ҄ ꙗ҅ко о҄упⸯвахъ на н҄ь·	πασέν με τὴν ταπεινὴν, ὅτι πέποιθα ἐπ' αὐτόν...
<003r>	и҅ славьѭ҄ ст꙯оѥ имꙙ ѥго· ꙗ҅ко тъ ѥ҅стъ	καὶ δοξάζω τὸ ἅγιον αὐτοῦ ὄνομα, ὅτι αὐτός ἐστιν
<003r>	б꙯ъ творꙙи чоудеса· и҅ нѣстъ и҅ного ра-	... ὁ ποιῶν θαυμάσια καὶ οὐκ ἔστιν θεὸς ἄλλος πλὴν
<003r>	ꙁвѣ того· и҅ повелѣ аурилиꙗ҅нъ отрѣ-	αὐτοῦ”. Καὶ ἐκέλευσεν Αὐριλλιανὸς λυθῆ-
<003r>	шити паула· ї и҅скопати ровъ въ ꙁеми	ναι τὸν Παῦλον προστάξας ὀρυγῆναι βόθρον εἰς τὴν γῆν
<003r>	девꙙти лакътъ· и принести дръва	ἐπὶ ἀνδρόμηκα τρία καὶ ἐνεχθῆναι ξύλα
<003r>	и҅ о҅гн҄ь и҅ жешти въ ровѣ· и҅ томоу бесѣ-	καὶ πῦρ καὶ ἐκκαίεσθαι τὸν βόθρον. Οἱ δὲ δήμιοι σπουδαίως τὸ προσταχ-
<003r>	доуѭ҄штоу и҅скопашꙙ ровъ· и҅ прине-	θὲν αὐτοῖς ἐποίουν καὶ ὤρυξαν τὸν βόθ-
<003r>	сошꙙ дръва и огн҄ь· и҅ їждегошꙙ въ ро-	ρον καὶ ἐξέκαυσαν αὐτὸν σφοδρῶς.
<003r>	вѣ· таже повелѣ вь҆врѣшти паула	Καὶ οὕτως ἐκέλευσεν... ἀκοντίσαι τὸν Παῦλον
<003r>	и҅ улиꙗ҅ниѭ҄ въ о҅гн҄ь· о҅на же и҅дѫшта	καὶ τὴν Ἰουλιανὴν εἰς τὸ πῦρ· οἱ δὲ ἅγιοι ἀπῄεσαν...
<003r>	благословьꙗ҅ста бога· и҅ мол҄ꙗста сп꙯са	αἰνοῦντες τὸν θεὸν καὶ ἐπικαλούμενοι τὸν σωτῆρα...
<003r>	їс꙯ хс꙯а помошть҆ника· и пришедъша	Ἰησοῦν Χριστὸν βοηθῆσαι... καὶ ἐλθόντες
<003r>	на мѣсто· прѣкръстиста лици свои҆·	ἐπὶ τὸν τόπον σφραγισάμενοι τὰ ἑαυτῶν μέλη
<003r>	о҅браꙁомъ крестънꙑи҅мъ хс꙯овомъ·	τῷ τύπῳ τοῦ σταυροῦ τοῦ Χριστοῦ
<003r>	и҅ въвръгошꙙ ꙗ въ о҅гн҄ь· и҅ бѣаста въ	ἔριψαν ἑαυτοὺς εἰς τὸ πῦρ. Καὶ ἦσαν ἐν
<003r>	огн҄и поѭ҄шта и хвалꙙшта бога· и҅ се	τῷ πυρὶ αἰνοῦντες καὶ δοξάζοντες τὸν θεὸν καὶ ἰδοὺ
<003r>	агⸯг҄елъ гн꙯ь съшедъ съ небесе· и҅стрꙙ-	ἄγγελος κυρίου καταβὰς ἐξ οὐρανοῦ ἐξετίν-
<003r>	се вънъ пешть҆ницѫ съ о҅гн҄емъ· и҅ не	αξεν ἔξω τὸν καπνὸν σὺν τῷ πυρὶ καὶ οὐκ
<003r>	дастъ о҅гню сътѫжити и҅ма· и҅ поꙗа-	εἴασεν τὸ πῦρ... παρενοχλῆσαι αὐτοῖς. Καὶ ἦσαν ἑστῶτ-
<003r>	ста благословꙙшта б꙯а въ ровѣ о҅гн҄ь-	ες ἐν τῷ βόθρῳ εὐλογοῦντες τὸν θεὸν καὶ
<003r>	нѣѣмъ штиїмъ· глагол҄ѫшта	λέγοντες...
<003r>	благословьѥ҅нъ ѥ҅си г꙯и б꙯е ·	„Εὐλογητός εἶ, κύριε ὁ θεός... τῶν αἰώνων,
<003r>	бесъмрь҆тънꙑи҆· иже помꙙнѫ о҄убожь-	ὃς ἐμνήσθης τῆς ταπεινώ-
<003r>	ство наше· недостоиномъ сѫштемⸯ	σεως ἡμῶν,
<003r>	грѣхъ ради нашихъ· беꙁъ҆ловенъ сꙑ	
<003v>	и благъ· ꙗ҅ви сꙙ нама о҄угасити силѫ о҆гⸯ-	καὶ ἐπιφανεῖς ἡμῖν ἔσβεσας τὴν κάμινον τοῦ πυρ-
<003v>	н҄ѣ· и ꙗ҅рость мѫчител҄ꙗ а҅урилиана· и҅	ός...”
<003v>	слꙑшаа҆хѫ ѥ҅ю҄ народи о҅тъдалече стоѧ-	Ταῦτα δὲ αὐτῶν προσευξαμένων πολλοὶ τῶν Ἑλλήνων
<003v>	ште· бѣа҅хѫ бо мноꙁи молꙙште сꙙ о҅ н҄ею҄	θεωροῦντες
<003v>	къ богоу· ꙗ҅коже и҅ многомъ о҅тъ поганъ	τοῦ θεοῦ
<003v>	покаꙗти сꙙ и҅ раꙁврѣсти срь҆дь҆ца о҅ свꙙ-	τὴν δύναμιν κατανυγέντες
<003v>	тоую҄· и҅ о҄уклонити сꙙ о҅тъ коумирослꙋ-	ἀπέστησαν τῆς εἰδωλολατ-
<003v>	жениꙗ и҅ вѣровати хс꙯оу· мноꙁи же отъ	ρείας καὶ ἐπίστευσαν τῷ Χριστῷ. Πολλοὶ δὲ καὶ
<003v>	сѣчецъ мѫчꙙштиїхъ ст꙯аꙗ повелѣни-	τῶν δημίων τῶν αἰκισάντων αὐτοὺς
<003v>	ѥ҅мъ а҅урилиꙗн҄емъ· видꙙште силꙑ	θεωροῦντες τὰς εὐεργεσίας τὰς
<003v>	бꙑваѥ҅мꙑѧ богомъ· вѣровашꙙ къ бо-	ὑπὸ τοῦ θεοῦ... γινομένας... ἐπίστευον τῷ Χρισ-
<003v>	гоу· и вьꙁвѣстишꙙ а҅урилиꙗ҅ноу вь-	τῷ. Ἀνηγγέλη δὲ τῷ Αὐριλλιανῷ ἅπαν-
<003v>	са бꙑвьшаꙗ· и повелѣ тоу сѫштаꙗ	τα τὰ γεγενημένα καὶ ἐκέλευσεν
<003v>	въ ровѣ камениѥ҅мъ побити· и҅ се на-	λιθοβοληθῆναι αὐτοὺς ὄντας ἐν τῷ βόθρῳ. Καὶ ἰδοὺ ἄφ-
<003v>	прасно шоумъи҅громъ сь҆ небесе многамі	νω ἦχος βροντῆς σὺν πολλαῖς
<003v>	мль҆ниꙗ҅ми облаци движꙙште сꙙ пль-	ἀστραπαῖς ἐγένετο ἐκ τῶν οὐρανῶν καὶ νεφέλαι ὡράθησαν κινούμεναι καὶ γέ-
<003v>	ни о҅гн҄ѣ· и҅ придошꙙ о҅блаци дожи ї до а҅-	μουσαι πυρὸς καὶ ἦλθον κατέναντι Αὐ-
<003v>	урилиꙗ҅на и҅ сташꙙ и҅ їꙁлиꙗ҅шꙙ о҅гн҄ь	ριλλιανοῦ καὶ ἐξέχεαν τὸ πῦρ
<003v>	на ꙁемьѭ҄· и҅ гласъ съ небесе глагол҄ꙙ·	ἐπὶ τὴν γῆν καὶ φωνὴ ἐκ τῶν οὐρανῶν ἐγένετο πρὸς αὐτόν·
<003v>	а҅урилиꙗн въ родьство огн҄ьноѥ·	„Αὐριαλλιανέ, εἴσελθε εἰς τὴν ἄβυσσον τῆς γεέννης τοῦ πυρὸς
<003v>	о҄уготованоѥ и҅ отⸯцоу	τὴν ἡτοιμασμένην σοὶ καὶ τῷ πατρί σου τῷ διαβόλῳ”. Τούτων
<003v>	посълавъ а҅урилиꙗнъ пове-	δὲ γενομένων ἀποστείλας Αὐριλλιανὸς ἐκέλευ-
<003v>	лѣ лѣшти ꙗ и҅ꙁдрова· и въ темⸯни-	σεν τοὺς ἀθλοφόρους καὶ μάρτυρας τοῦ Χριστοῦ ἀνασπασθῆναι ἐκ τοῦ βόθρου καὶ ἐμβληθῆναι εἰς τὸ δεσ-
<003v>	цѫ въврѣшти· и бѣа҅ста славꙙшта	μωτήριον. Καὶ ἦσαν... δοξάζοντες
<003v>	бога· о҅ чоудесехъ ꙗ҅же сътвори о н҄ею҄·	τὸν θεὸν ἐπὶ... τοῖς θαυμασίοις, οἷς ἐποίησεν εἰς αὐτούς.
